Partlist

Exported from URTC_V1.0.sch at 18/07/2026 0:09

EAGLE Version 9.5.2 Copyright (c) 1988-2019 Autodesk, Inc.

Assembly variant: 

Part           Value                       Device                      Package              Library                                           Sheet

+3V3                                       LED-0603                    LED-0603             LED-SMD                                           1
+3V3B                                      LED-0603                    LED-0603             LED-SMD                                           1
+5V                                        LED-0603                    LED-0603             LED-SMD                                           1
BOOT           KMR2                        ADAFRUIT_SPST_TACT-KMR2     ADAFRUIT_KMR2        Adafruit Feather 32u4 Bluefruit LE                1
C1             10uF/50V                    C-USC1206                   C1206                rcl                                               1
C2             22uF/10V                    C-USC0805                   C0805                rcl                                               1
C3             4.7uF/6.3V                  C-USC0603                   C0603                rcl                                               1
C4             10nF                        C-USC0402                   C0402                rcl                                               1
C5             100nF                       C-USC0402                   C0402                rcl                                               1
C6             100nF                       C-USC0402                   C0402                rcl                                               1
C7             100nF                       C-USC0402                   C0402                rcl                                               1
C8             100nF                       C-USC0402                   C0402                rcl                                               1
C9             100nF                       C-USC0402                   C0402                rcl                                               1
C10            10nF                        C-USC0402                   C0402                rcl                                               1
C11            100nF                       C-USC0402                   C0402                rcl                                               1
C12            100nF                       C-USC0402                   C0402                rcl                                               1
C13            100nF                       C-USC0402                   C0402                rcl                                               1
C14            100nF                       C-USC0402                   C0402                rcl                                               1
C15            10uF/50V                    C-USC1206                   C1206                rcl                                               1
C16            10uF/50V                    C-USC1206                   C1206                rcl                                               1
C17            4.7uF/50V                   C-USC1206                   C1206                rcl                                               1
C18            100nF                       C-USC0402                   C0402                rcl                                               1
C19            22nF                        C-USC0402                   C0402                rcl                                               1
C20            100uF/35V                   CPOL-USSANYO_SMD_C6         SANYO-OSCON_SMD_C6   rcl                                               1
C21            22uF/10V                    C-USC0805                   C0805                rcl                                               1
C22            4.7uF/6.3V                  C-USC0603                   C0603                rcl                                               1
C23            10uF/6.3V                   C-USC0603                   C0603                rcl                                               1
C24            10uF/6.3V                   C-USC0603                   C0603                rcl                                               1
C25            10uF/6.3V                   C-USC0603                   C0603                rcl                                               1
C26            2.2uF/6.3V                  C-USC0603                   C0603                rcl                                               1
C27            2.2uF/6.3V                  C-USC0603                   C0603                rcl                                               1
C28            100nF                       C-USC0402                   C0402                rcl                                               1
